Game,Nama Tanggal,Tebakan
Games 1, wendi 22 February 2025
,,2
,,1
,,8
Posisi Bims,,10
Games 2, redesa 22 February 2025
7,,
1,,
Posisi Bims,,1
Games 3,redeos 22 February 2025
7,,
3,,
9,,
Posisi Bims,,9
Games 4, wendi  22 February 2025
4,,
2,,
Posisi Bims,,2
Games 4, wendi  22 February 2025
10,,
3,,
2,,
Posisi Bims,,2
Games 5, wendi  22 February 2025
4,,
6,,
Posisi Bims,,6
Games 6, wendiwen 22 February 2025
1,,
6,,
Posisi Bims,,6
Games 7, wesley ' 22 February 2025
3,,
Posisi Bims,,3
